"OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species","BF14_2dpf_L","BF14_2dpf_W","BF14_4dpf_L","BF14_4dpf_W","BF14_6dpf_L","BF14_6dpf_W","BF18_2dpf_L","BF18_2dpf_W","BF18_4dpf_L","BF18_4dpf_W","BF18_6dpf_L","BF18_6dpf_W","BHS18_2dpf_L","BS14_2dpf_L","BS14_4dpf_L","BS14_4dpf_W","BS14_6dpf_W","BS18_2dpf_W","BS18_4dpf_L","BS18_4dpf_W","BS18_6dpf_L","BTS14_2dpf_W","HF14_2dpf_L","HF14_2dpf_W","HF14_4dpf_L","HF14_4dpf_W","HF14_6dpf_L","HF14_6dpf_W","HF18_2dpf_L","HF18_2dpf_W","HF18_4dpf_L","HF18_4dpf_W","HF18_6dpf_L","HF18_6dpf_W","HS14_2dpf_L","HS14_2dpf_W","HS14_4dpf_L","HS14_4dpf_W","HS14_6dpf_L","HS14_6dpf_W","HS18_2dpf_W","HS18_4dpf_L","HS18_4dpf_W","HS18_6dpf_L","HS18_6dpf_W","TF14_2dpf_L","TF14_2dpf_W","TF14_4dpf_L","TF14_4dpf_W","TF14_6dpf_L","TF14_6dpf_W","TF18_2dpf_L","TF18_2dpf_W","TF18_4dpf_L","TF18_4dpf_W","TF18_6dpf_L","TF18_6dpf_W","TS14_4dpf_L","TS14_4dpf_W","TS14_6dpf_L","TS14_6dpf_W","TS18_2dpf_L","TS18_2dpf_W","TS18_4dpf_L","TS18_4dpf_W","TS18_6dpf_L","TS18_6dpf_W"
"2905a73863e53189f7e3abb9bfc6bbf5","d__Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Robiginitomaculum",NA,18,0,7,5,13,27,5,3,0,10,12,18,3,4,0,0,0,0,0,0,0,0,11,3,5,0,22,53,8,1,14,14,2,35,0,0,0,0,0,0,0,0,0,0,0,8,0,3,4,0,21,0,0,0,3,24,14,0,0,0,0,0,0,0,0,0,0
"2a762bf76b8029947a0e883166fd2493","d__Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hyphomonas",NA,0,0,19,0,8,0,4,0,0,0,3,3,0,0,0,0,3,5,40,28,12,0,0,0,0,0,23,2,0,0,0,0,0,5,0,0,0,5,24,81,0,12,32,35,63,0,0,2,0,10,3,12,0,0,0,5,3,40,45,582,153,0,0,6,0,14,17
"fc80d4d84a02c756cd8a64b03e223a5d","d__Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","uncultured",NA,34,6,28,28,186,163,39,23,11,13,118,119,8,0,0,9,47,14,189,275,60,4,5,7,32,6,117,24,98,20,29,4,36,23,0,10,42,0,4,27,10,16,57,55,92,17,5,13,5,182,9,16,12,72,4,144,17,0,6,18,8,2,0,56,38,20,37
"51ef12124a9a4b6282ca0f8511f74af0","d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c3ca1d8e6c9603cb2d358161fab606c5","d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Altererythrobacter",NA,19,18,225,69,725,17,33,13,204,36,449,43,0,0,7,0,4,0,6,7,3,2,40,15,354,85,832,82,48,16,345,61,645,81,0,13,66,0,0,0,0,0,1,0,6,27,12,86,61,705,35,123,9,218,27,636,19,0,0,0,8,11,0,0,5,11,3
"56ea5c9213d47145e94e52226ee977aa","d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
"e8c1987b5581e4e8d3336229569bfddf","d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingorhabdus",NA,3,0,29,5,72,0,6,2,57,0,54,1,0,0,0,0,0,0,0,0,0,0,6,0,15,2,41,0,12,2,32,1,37,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,3,98,4,5,2,15,0,40,0,0,0,0,0,0,0,0,0,0,0
"6a2523cc01fcaa8179fc57032cb0ce30","d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Parasphingopyxis",NA,0,0,11,0,17,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,4,0,2,0,2,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"a7f7b848ed4fcbddf67080d6cd9683b4","d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26b724e1fb0b3b7fb364d4680f6fd958","d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Qipengyuania",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
